id,title,url,price,meter_price,price_2_payments,price_4_payments,price_12_payments,rnpl_monthly_price,area_sqm,deed_area,num_bedrooms,num_bathrooms,num_living_rooms,num_kitchens,num_rooms,floor_level,furnished,duplex,ac,lift,maid_room,driver_room,pool,basement,backyard,playground,car_entrance,stairs,water_availability,electrical_availability,drainage_availability,private_roof,two_entrances,special_entrance,apartment_in_villa,street_width,direction,city,district,address,latitude,longitude,category_id,category_ga_listing_type,category_ga_property_category,category_is_rent,category_name,category_en,category_plural,category_uri,category_path,category_keywords,category_description,category_index,sale_type,is_rental,is_sale,is_auction,is_daily_rental,create_time,published_at,last_update,verified,boosted,premium,has_img,has_video,ad_license_number,deed_number,rega_licensed,plan_no,parcel_no,user_verified,company_name,user_paid_tier,description,images,videos
6480909,فيلا للبيع في شارع ابن الغرس ، حي النيصيه ، حايل ، منطقه حايل,https://sa.aqar.fm/فلل-للبيع/حايل/حي-النسيه/شارع-ابن-الغرس-حي-النيصيه-حايل-منطقه-حايل-6480909,100000.0,,,,,,640.0,,6.0,3.0,0.0,1.0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,15.0,,حايل,حي النسيه,شارع ابن الغرس ، حي النيصيه ، حايل ، منطقه حايل,27.645227,41.696598,3,sale,villa,False,فيلا للبيع,Villa for sale,فلل للبيع,فلل-للبيع,/فلل-للبيع,"['فيلا', 'دوبلكس', 'دبلكس', 'دوبلكسات', 'فلل', 'للبيع']",فلل للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره و قصور للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره. يمكنك البحث عن فلل بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره بسعر مناسب,3,auction,False,False,True,False,1764083962,1764149289,1767012448,False,True,False,True,False,,,True,2025,725,True,شركه صفوه الاحسان التجاريه,,عباره عن فيلا دور واحد وتحتوي علي صاله وست غرف ومطبخ وثلاث دورات مياه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973649_1764083798262.jpg'],
6492975,ارض للبيع في شارع ابي بكر ، حي الفيحاء ، جده ، جده,https://sa.aqar.fm/اراضي-للبيع/جده/شمال-جده/حي-الفيحاء/شارع-ابي-بكر-حي-الفيحاء-جده-جده-6492975,6000.0,6000.0,,,,,57399.0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,40.0,شمال جده,جده,حي الفيحاء,شارع ابي بكر ، حي الفيحاء ، جده ، جده,21.488963,39.228746,2,sale,land,False,ارض للبيع,Land for sale,اراضي للبيع,اراضي-للبيع,/اراضي-للبيع,"['ارض', 'ارض', 'اراضي', 'اراضي', 'اراضي', 'اراض', 'للبيع']","اراضي للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر المتر و الصور, يمكنك البحث عن ارض للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر مناسب من المالك",2,auction,False,False,True,False,1764851571,1764853262,1767012448,False,True,False,True,False,,,True,,,True,شركه عقارات للتطوير والتنميه,2.0,,"['037583563_1764851485601.jpg', '037583567_1764851501426.jpg', '037583561_1764851511386.jpg', '037583563_1764851519642.jpg', '037583561_1764943351450.jpg']",
6480962,بيت للبيع في شارع الاحراش ، حي الباديه ، حايل ، منطقه حايل,https://sa.aqar.fm/بيت-للبيع/حايل/حي-العزيزيه/شارع-الاحراش-حي-الباديه-حايل-منطقه-حايل-6480962,100000.0,,,,,,407.0,,5.0,2.0,1.0,1.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,,حايل,حي العزيزيه,شارع الاحراش ، حي الباديه ، حايل ، منطقه حايل,27.532394,41.67688,9,sale,house,False,بيت للبيع,Small house for sale,بيت للبيع,بيت-للبيع,/بيت-للبيع,"['بيت', 'بيوت', 'للبيع']","بيوت من دور واحد , وبيوت شعبيه للبيع في الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه الواجهه شرق بمساحات و اسعار مختلفه مع الصور والتفاصيل",9,auction,False,False,True,False,1764085068,1764148789,1767012448,False,True,False,True,False,,,True,,,True,شركه صفوه الاحسان التجاريه,,عباره عن بيت شعبي يتكون من : خمس غرف وصاله و دورتين مياه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973641_1764084936708.jpg'],
6480938,ارض للبيع في الروضه ، منطقه حايل,https://sa.aqar.fm/اراضي-للبيع/الغزاله/حي-الغزاله/الروضه-منطقه-حايل-6480938,100000.0,100000.0,,,,,600.0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,15.0,,الغزاله,حي الغزاله,الروضه ، منطقه حايل,26.789337,41.676224,2,sale,land,False,ارض للبيع,Land for sale,اراضي للبيع,اراضي-للبيع,/اراضي-للبيع,"['ارض', 'ارض', 'اراضي', 'اراضي', 'اراضي', 'اراض', 'للبيع']","اراضي للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر المتر و الصور, يمكنك البحث عن ارض للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر مناسب من المالك",2,auction,False,False,True,False,1764084444,1764149067,1767012448,False,True,False,True,False,,,True,2504,23,True,شركه صفوه الاحسان التجاريه,,عباره عن ارض سكنيه بواجهه شماليه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973645_1764084226348.jpg'],
6480921,فيلا للبيع في شارع البارز ، حايل ، منطقه حايل,https://sa.aqar.fm/فلل-للبيع/حايل/حي-النقره/شارع-البارز-حايل-منطقه-حايل-6480921,100000.0,,,,,,410.0,,7.0,5.0,2.0,1.0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,20.0,,حايل,حي النقره,شارع البارز ، حايل ، منطقه حايل,27.389709,41.558662,3,sale,villa,False,فيلا للبيع,Villa for sale,فلل للبيع,فلل-للبيع,/فلل-للبيع,"['فيلا', 'دوبلكس', 'دبلكس', 'دوبلكسات', 'فلل', 'للبيع']",فلل للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره و قصور للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره. يمكنك البحث عن فلل بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره بسعر مناسب,3,auction,False,False,True,False,1764084182,1764149210,1767012448,False,True,False,True,False,,,True,1000,2/3509,True,شركه صفوه الاحسان التجاريه,,عباره عن دورين تحتوي علي ثمان غرف وصالتين و مطبخ و ست دورات مياه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973646_1764083992387.jpg'],
6480880,ارض للبيع في شارع المنتزه الشمالي 12 ، حي المنتزه الشرقي ، حايل ، منطقه حايل,https://sa.aqar.fm/اراضي-للبيع/حايل/حي-المنتزه-الشرقي/شارع-المنتزه-الشمالي-12-حي-المنتزه-الشرقي-حايل-منطقه-حايل-6480880,10000.0,10000.0,,,,,540.0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,15.0,,حايل,حي المنتزه الشرقي,شارع المنتزه الشمالي 12 ، حي المنتزه الشرقي ، حايل ، منطقه حايل,27.547899,41.714809,2,sale,land,False,ارض للبيع,Land for sale,اراضي للبيع,اراضي-للبيع,/اراضي-للبيع,"['ارض', 'ارض', 'اراضي', 'اراضي', 'اراضي', 'اراض', 'للبيع']","اراضي للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر المتر و الصور, يمكنك البحث عن ارض للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر مناسب من المالك",2,auction,False,False,True,False,1764083126,1764149475,1767012448,False,True,False,True,False,,,True,2475,191,True,شركه صفوه الاحسان التجاريه,,عباره عن ارض سكنيه بواجهه شماليه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973646_1764082696691.jpg'],
6480952,دور للبيع في شارع السويفله جديد 149 ، حي السويفله ، حايل ، منطقه حايل,https://sa.aqar.fm/دور-للبيع/حايل/حي-السويفله/شارع-السويفله-جديد-149-حي-السويفله-حايل-منطقه-حايل-6480952,100000.0,,,,,,525.0,,5.0,4.0,1.0,,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,15.0,,حايل,حي السويفله,شارع السويفله جديد 149 ، حي السويفله ، حايل ، منطقه حايل,27.604521,41.769066,22,sale,floor,False,دور للبيع,Floor for sale,دور للبيع,دور-للبيع,/دور-للبيع,"['دور للبيع', 'ادوار للبيع', 'دور ارضي للبيع', 'بيت دور للبيع', 'ادوار تمليك']",ادوار للبيع الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه عمر العقار اقل من 5 سنوات، يمكنك البحث عن دور ارضي او اول او ثاني باسعار مناسبه علي عقار,21,auction,False,False,True,False,1764084902,1764148893,1767012448,False,True,False,True,False,,,True,2590,273,True,شركه صفوه الاحسان التجاريه,,عباره عن دور مكون من : سبع غرف وصاله و مطبخ و اربع دورات مياه . * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973649_1764084772226.jpg'],
6480890,بيت للبيع في شارع النعيم ، الغزاله ، الغزاله,https://sa.aqar.fm/بيت-للبيع/الغزاله/حي-الغزاله/شارع-النعيم-الغزاله-الغزاله-6480890,100000.0,,,,,,405.0,,5.0,3.0,2.0,1.0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,17.0,,الغزاله,حي الغزاله,شارع النعيم ، الغزاله ، الغزاله,26.790705,41.317959,9,sale,house,False,بيت للبيع,Small house for sale,بيت للبيع,بيت-للبيع,/بيت-للبيع,"['بيت', 'بيوت', 'للبيع']","بيوت من دور واحد , وبيوت شعبيه للبيع في الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه الواجهه شرق بمساحات و اسعار مختلفه مع الصور والتفاصيل",9,auction,False,False,True,False,1764083459,1764149422,1767012448,False,True,False,True,False,,,True,,,True,شركه صفوه الاحسان التجاريه,,بيت شعبي مكون من 9 غرف وصالتين و مطبخين و 3 دورات مياه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973646_1764083166934.jpg'],
6480899,عماره للبيع في القاعد ، منطقه حايل,https://sa.aqar.fm/عماير-للبيع/حايل/حي-النسيه/القاعد-منطقه-حايل-6480899,100000.0,,,,,,1056.0,,,,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,24.0,,حايل,حي النسيه,القاعد ، منطقه حايل,27.870031,41.746891,7,sale,building,False,عماره للبيع,Building for sale,عماير للبيع,عماير-للبيع,/عماير-للبيع,"['عماير', 'عمارات', 'عماير', 'للبيع']",عماير سكنيه وتجاريه للبيع في الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه عمر العقار اقل من 5 سنوات بمساحات و مميزات مختلفه بافضل الاسعار مع الصور والتفاصيل ...,7,auction,False,False,True,False,1764083777,1764149362,1767012448,False,True,False,True,False,,,True,441,2/139,True,شركه صفوه الاحسان التجاريه,,عباره عن عماره سكنيه مبنيه علي صكين مكونه من : اربع شقق وكل شقه تحتوي علي اربع غرف وصاله ومطبخ وثلاث دورات مياه . * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973648_1764083578448.jpg'],
6480949,ارض للبيع في الروضه ، منطقه حايل,https://sa.aqar.fm/اراضي-للبيع/الغزاله/حي-الغزاله/الروضه-منطقه-حايل-6480949,100000.0,100000.0,,,,,600.0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,15.0,,الغزاله,حي الغزاله,الروضه ، منطقه حايل,26.787615,41.677189,2,sale,land,False,ارض للبيع,Land for sale,اراضي للبيع,اراضي-للبيع,/اراضي-للبيع,"['ارض', 'ارض', 'اراضي', 'اراضي', 'اراضي', 'اراض', 'للبيع']","اراضي للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر المتر و الصور, يمكنك البحث عن ارض للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه بسعر مناسب من المالك",2,auction,False,False,True,False,1764084738,1764148989,1767012448,False,True,False,True,False,,,True,2504,24,True,شركه صفوه الاحسان التجاريه,,عباره عن ارض سكنيه بواجهه شماليه * مزاد جوهره الشمال * عبر منصه مباشر للمزادات * يبدا المزاد يوم السبت تاريخ 2025/12/6 م * ينتهي المزاد يوم الاثنين تاريخ 2025/12/8 م,['047973641_1764085303601.jpg'],
